,ISO Date,ISO3 codes,COVID 19 Event,Conflict Event,Perpetrator category,Weapons use,Total health worker killed,Total health worker kidnapped,Deprivation of Liberty,Total health worker arrested,Total health worker threatened,Total health worker injured,Total health worker assaulted,Total health worker discriminated against,Total health worker sexual violence,Total health worker missing,Total health worker tortured
0,2020-01-01 00:00:00,SUD,NotApplicable,ConflictEvent,nonstateactor,Other,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-01 00:00:00,SYR,NotApplicable,ConflictEvent,nonstateactor,Firearm,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2,2020-01-01 00:00:00,YEM,NotApplicable,ConflictEvent,noinformation,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-02 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,NoWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-02 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-02 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,Other,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-03 00:00:00,LBY,NotApplicable,ConflictEvent,nonstateactor,Firearm,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-03 00:00:00,LBY,NotApplicable,ConflictEvent,nonstateactor,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-04 00:00:00,NGA,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,1.0,Ransom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-01-04 00:00:00,YEM,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-05 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-05 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,NoWeapons,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
13,2020-01-06 00:00:00,PAK,COVIDEvent,NotApplicable,civilian,NoWeapons,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,2020-01-06 00:00:00,SYR,NotApplicable,ConflictEvent,nonstateactor,Firearm,0.0,2.0,NoInformation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-01-07 00:00:00,BFA,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,1.0,Freed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-01-07 00:00:00,COD,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-01-07 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-01-07 00:00:00,SSD,NotApplicable,ConflictEvent,stateforces,NoWeapons,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-01-08 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-01-09 00:00:00,LBY,NotApplicable,ConflictEvent,nonstateactor,ExplosiveWeapons,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-01-10 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,NoWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-01-11 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-01-12 00:00:00,AFG,NotApplicable,ConflictEvent,noinformation,NoWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-01-12 00:00:00,AFG,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-01-13 00:00:00,AFG,NotApplicable,ConflictEvent,noinformation,NoWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-01-13 00:00:00,COD,NotApplicable,ConflictEvent,civilian,Other,0.0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
28,2020-01-13 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2020-01-13 00:00:00,YEM,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-01-13 00:00:00,SLV,NotApplicable,ConflictEvent,nonstateactor,Firearm,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-01-14 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,NoWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-01-14 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,NoWeapons,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
33,2020-01-14 00:00:00,SYR,NotApplicable,ConflictEvent,nonstateactor,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-01-14 00:00:00,NGA,NotApplicable,ConflictEvent,nonstateactor,Firearm,2.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
35,2020-01-15 00:00:00,AFG,NotApplicable,ConflictEvent,stateforces,NoInformation,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-01-15 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,2020-01-15 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2020-01-15 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-01-17 00:00:00,IRQ,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,1.0,NoInformation ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-01-17 00:00:00,COD,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,2.0,NoInformation ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-01-17 00:00:00,SSD,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,2020-01-19 00:00:00,BFA,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-01-19 00:00:00,COD,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-01-19 00:00:00,SYR,NotApplicable,ConflictEvent,nonstateactor,ExplosiveWeapons,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-01-20 00:00:00,AFG,NotApplicable,ConflictEvent,noinformation,NoInformation,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2020-01-20 00:00:00,MOZ,NotApplicable,ConflictEvent,nonstateactor,Other,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-01-21 00:00:00,AFG,NotApplicable,ConflictEvent,noinformation,NoWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2020-01-21 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,NoWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2020-01-21 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2020-01-21 00:00:00,IRQ,NotApplicable,ConflictEvent,noinformation,Firearm,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2020-01-21 00:00:00,YEM,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-01-23 00:00:00,AFG,NotApplicable,ConflictEvent,noinformation,NoInformation,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2020-01-23 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2020-01-24 00:00:00,YEM,NotApplicable,ConflictEvent,noinformation,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2020-01-25 00:00:00,LBY,NotApplicable,ConflictEvent,nonstateactor,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2020-01-25 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
60,2020-01-26 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2020-01-26 00:00:00,BFA,NotApplicable,ConflictEvent,nonstateactor,Firearm,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2020-01-26 00:00:00,COL,NotApplicable,ConflictEvent,nonstateactor,NoInformation,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2020-01-27 00:00:00,BFA,NotApplicable,ConflictEvent,nonstateactor,NoInformation,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2020-01-27 00:00:00,BFA,NotApplicable,ConflictEvent,nonstateactor,NoInformation,1.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
65,2020-01-27 00:00:00,BFA,NotApplicable,ConflictEvent,nonstateactor,Other,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2020-01-27 00:00:00,COD,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2020-01-27 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,2020-01-27 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2020-01-29 00:00:00,MOZ,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2020-01-29 00:00:00,PAK,NotApplicable,ConflictEvent,nonstateactor,Firearm,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2020-01-29 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,2.0,0.0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
74,2020-01-29 00:00:00,SYR,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2020-01-30 00:00:00,KGZ,COVIDEvent,NotApplicable,stateforces,NoWeapons,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2020-01-31 00:00:00,AFG,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2020-01-31 00:00:00,NGA,NotApplicable,ConflictEvent,nonstateactor,Other,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2020-01-31 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79,2020-01-31 00:00:00,IRQ,NotApplicable,ConflictEvent,nonstateactor,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2020-02-01 00:00:00,BFA,NotApplicable,ConflictEvent,nonstateactor,NoInformation,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2020-02-01 00:00:00,COD,NotApplicable,ConflictEvent,nonstateactor,Firearm,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2020-02-01 00:00:00,COD,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2020-02-01 00:00:00,LBY,NotApplicable,ConflictEvent,nonstateactor,NoInformation,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2020-02-01 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2020-02-01 00:00:00,SYR,NotApplicable,ConflictEvent,nonstateactor,Firearm,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2020-02-01 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2020-02-01 00:00:00,UKR,NotApplicable,ConflictEvent,nonstateactor,Firearm,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2020-02-02 00:00:00,COD,NotApplicable,ConflictEvent,nonstateactor,Other,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2020-02-02 00:00:00,SOM,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,1.0,NoInformation ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2020-02-02 00:00:00,YEM,NotApplicable,ConflictEvent,nonstateactor,Firearm,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2020-02-03 00:00:00,PHL,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,1.0,NoInformation ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2020-02-03 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
94,2020-02-04 00:00:00,COL,NotApplicable,ConflictEvent,nonstateactor,Firearm,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
95,2020-02-04 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2020-02-04 00:00:00,SYR,NotApplicable,ConflictEvent,noinformation,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2020-02-05 00:00:00,COD,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2020-02-05 00:00:00,NGA,NotApplicable,ConflictEvent,noinformation,NoInformation,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2020-02-05 00:00:00,PSE,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100,2020-02-05 00:00:00,SYR,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2020-02-06 00:00:00,AFG,NotApplicable,ConflictEvent,noinformation,NoWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2020-02-06 00:00:00,MOZ,NotApplicable,ConflictEvent,nonstateactor,Other,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2020-02-06 00:00:00,MMR,COVIDEvent,ConflictEvent,stateforces,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2020-02-06 00:00:00,PSE,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
106,2020-02-06 00:00:00,PSE,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,2020-02-06 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2020-02-06 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
